Time elapsed for reading surface mesh: 0.562278
Time elapsed for curvature and narrow region assessment: 4.90483
Number of unbalanced nodes: 56
Number of unbalanced nodes: 0
Time elapsed for octree generation (strongly balanced): 19.8685
Time elapsed for constructing octree: 25.3804
Time elapsed for generating dual mesh: 2.38169
Time elapsed for extracting interior dual mesh: 7.94421
badElem: 0 aveDist: 0.0345484 maxDist: 2.43867 maxDistIdx: 4163
badElem: 0 aveDist: 0.00743995 maxDist: 1.1215 maxDistIdx: 3992
badElem: 0 aveDist: 0.00202959 maxDist: 0.518806 maxDistIdx: 3973
badElem: 0 aveDist: 0.000364348 maxDist: 0.0867331 maxDistIdx: 4194
badElem: 0 aveDist: 2.8442e-05 maxDist: 0.0256863 maxDistIdx: 3982
badElem: 0 aveDist: 6.33913e-06 maxDist: 0.00572493 maxDistIdx: 3982
badElem: 0 aveDist: 1.31023e-14 maxDist: 6.63498e-12 maxDistIdx: 2781
badElem: 18 aveDist: 0.00116081 maxDist: 0.135998 maxDistIdx: 3982
badElem: 1 aveDist: 0.000904158 maxDist: 0.101472 maxDistIdx: 3982
badElem: 0 aveDist: 0.000445932 maxDist: 0.0520819 maxDistIdx: 3931
badElem: 0 aveDist: 0.000202407 maxDist: 0.0284975 maxDistIdx: 3931
badElem: 3 aveDist: 7.72678e-05 maxDist: 0.0127991 maxDistIdx: 3941
badElem: 0 aveDist: 3.11085e-05 maxDist: 0.00653225 maxDistIdx: 3941
badElem: 0 aveDist: 1.17984e-05 maxDist: 0.00276363 maxDistIdx: 3941
badElem: 0 aveDist: 4.67866e-06 maxDist: 0.00124571 maxDistIdx: 4092
badElem: 0 aveDist: 1.69082e-06 maxDist: 0.000557385 maxDistIdx: 4092
badElem: 1 aveDist: 3.08815e-07 maxDist: 9.66683e-05 maxDistIdx: 3945
badElem: 0 aveDist: 2.51393e-07 maxDist: 0.000122937 maxDistIdx: 3931
badElem: 0 aveDist: 1.28411e-14 maxDist: 1.69229e-11 maxDistIdx: 3227
badElem: 1 aveDist: 7.33582e-05 maxDist: 0.00750676 maxDistIdx: 4557
badElem: 0 aveDist: 2.60186e-05 maxDist: 0.00246443 maxDistIdx: 4557
badElem: 0 aveDist: 9.23105e-06 maxDist: 0.00125583 maxDistIdx: 4092
badElem: 0 aveDist: 2.9696e-06 maxDist: 0.000631688 maxDistIdx: 4092
badElem: 0 aveDist: 1.3556e-06 maxDist: 0.000355371 maxDistIdx: 4127
badElem: 0 aveDist: 1.53697e-14 maxDist: 1.28587e-11 maxDistIdx: 3162
badElem: 1 aveDist: 0.000119329 maxDist: 0.0126535 maxDistIdx: 4557
badElem: 0 aveDist: 4.5424e-05 maxDist: 0.00479476 maxDistIdx: 4557
badElem: 1 aveDist: 1.37366e-05 maxDist: 0.00153857 maxDistIdx: 4557
badElem: 0 aveDist: 5.01045e-06 maxDist: 0.0010478 maxDistIdx: 4092
badElem: 0 aveDist: 1.23078e-06 maxDist: 0.000234586 maxDistIdx: 4092
badElem: 0 aveDist: 3.56757e-15 maxDist: 3.33525e-12 maxDistIdx: 3001
badElem: 1 aveDist: 0.000149082 maxDist: 0.0153337 maxDistIdx: 4557
badElem: 1 aveDist: 5.46973e-05 maxDist: 0.00476366 maxDistIdx: 4537
badElem: 0 aveDist: 1.91939e-05 maxDist: 0.00157443 maxDistIdx: 4537
badElem: 0 aveDist: 7.02637e-06 maxDist: 0.00101612 maxDistIdx: 4092
badElem: 0 aveDist: 2.15331e-06 maxDist: 0.000232674 maxDistIdx: 4092
badElem: 0 aveDist: 5.84496e-07 maxDist: 0.000112915 maxDistIdx: 4207
badElem: 0 aveDist: 3.54326e-07 maxDist: 0.000259907 maxDistIdx: 4092
badElem: 0 aveDist: 6.54682e-15 maxDist: 5.35814e-12 maxDistIdx: 4357
badElem: 3 aveDist: 0.00021544 maxDist: 0.020687 maxDistIdx: 4557
badElem: 0 aveDist: 8.99864e-05 maxDist: 0.00863477 maxDistIdx: 4557
badElem: 0 aveDist: 3.30633e-05 maxDist: 0.00303988 maxDistIdx: 4557
badElem: 0 aveDist: 1.34853e-05 maxDist: 0.00118027 maxDistIdx: 4131
badElem: 0 aveDist: 4.586e-06 maxDist: 0.000618998 maxDistIdx: 3941
badElem: 0 aveDist: 1.11834e-06 maxDist: 0.000188153 maxDistIdx: 3993
badElem: 0 aveDist: 3.73801e-15 maxDist: 3.33525e-12 maxDistIdx: 3001
badElem: 1 aveDist: 0.000297265 maxDist: 0.0281384 maxDistIdx: 4557
badElem: 0 aveDist: 0.000140524 maxDist: 0.0133997 maxDistIdx: 4557
badElem: 4 aveDist: 6.12055e-05 maxDist: 0.00624799 maxDistIdx: 4557
badElem: 0 aveDist: 2.25142e-05 maxDist: 0.00198655 maxDistIdx: 4557
badElem: 0 aveDist: 8.11189e-06 maxDist: 0.000958394 maxDistIdx: 4132
badElem: 0 aveDist: 2.40269e-06 maxDist: 0.000305912 maxDistIdx: 4127
badElem: 0 aveDist: 7.4619e-07 maxDist: 0.00011017 maxDistIdx: 4557
badElem: 0 aveDist: 2.90369e-07 maxDist: 0.000117767 maxDistIdx: 4266
badElem: 0 aveDist: 3.68474e-15 maxDist: 3.33525e-12 maxDistIdx: 3001
badElem: 2 aveDist: 0.000424922 maxDist: 0.032439 maxDistIdx: 4557
badElem: 0 aveDist: 0.000254858 maxDist: 0.0203694 maxDistIdx: 4557
badElem: 0 aveDist: 0.000124296 maxDist: 0.010228 maxDistIdx: 4557
badElem: 1 aveDist: 5.05274e-05 maxDist: 0.00407211 maxDistIdx: 4132
badElem: 0 aveDist: 2.0408e-05 maxDist: 0.00172147 maxDistIdx: 4132
badElem: 0 aveDist: 6.34171e-06 maxDist: 0.000735654 maxDistIdx: 4345
badElem: 0 aveDist: 1.83321e-06 maxDist: 0.000202597 maxDistIdx: 3941
badElem: 0 aveDist: 2.62588e-06 maxDist: 0.000694643 maxDistIdx: 4538
badElem: 0 aveDist: 6.07888e-07 maxDist: 0.000198564 maxDistIdx: 4538
badElem: 0 aveDist: 1.28237e-14 maxDist: 1.66584e-11 maxDistIdx: 3557
badElem: 3 aveDist: 0.000728628 maxDist: 0.0561283 maxDistIdx: 4557
badElem: 0 aveDist: 0.000540814 maxDist: 0.0428992 maxDistIdx: 4557
badElem: 1 aveDist: 0.000364544 maxDist: 0.0298971 maxDistIdx: 4557
badElem: 0 aveDist: 0.000234378 maxDist: 0.0201523 maxDistIdx: 4557
badElem: 1 aveDist: 0.000141455 maxDist: 0.0126284 maxDistIdx: 4557
badElem: 0 aveDist: 7.1847e-05 maxDist: 0.00603197 maxDistIdx: 4557
badElem: 0 aveDist: 3.14817e-05 maxDist: 0.00261052 maxDistIdx: 4557
badElem: 1 aveDist: 1.61717e-05 maxDist: 0.0015368 maxDistIdx: 4557
badElem: 0 aveDist: 4.91014e-06 maxDist: 0.000501038 maxDistIdx: 4345
badElem: 0 aveDist: 1.76978e-06 maxDist: 0.000249245 maxDistIdx: 4205
badElem: 0 aveDist: 8.2004e-07 maxDist: 0.000301772 maxDistIdx: 4207
badElem: 0 aveDist: 2.61043e-07 maxDist: 0.000123181 maxDistIdx: 4194
badElem: 0 aveDist: 3.74808e-15 maxDist: 3.33525e-12 maxDistIdx: 3001
badElem: 37 aveDist: 0.000914709 maxDist: 0.0568382 maxDistIdx: 4132
badElem: 3 aveDist: 0.000863318 maxDist: 0.0622298 maxDistIdx: 4557
badElem: 1 aveDist: 0.000698294 maxDist: 0.0503048 maxDistIdx: 4557
badElem: 0 aveDist: 0.000558013 maxDist: 0.0402384 maxDistIdx: 4557
