Time elapsed for reading surface mesh: 0.569878
Time elapsed for curvature and narrow region assessment: 11.0202
Number of unbalanced nodes: 92
Number of unbalanced nodes: 15
Number of unbalanced nodes: 0
Time elapsed for octree generation (strongly balanced): 29.6421
Time elapsed for constructing octree: 42.3991
Time elapsed for generating dual mesh: 7.20467
1177, 1995 1996 61 65 1179 
64 65 61 60 21 
5598, 8045 8046 3991 3995 5590 
3994 3995 3991 3990 2837 
5766, 4027 4028 4042 4041 2850 
4027 4041 8242 8239 5767 
5997, 8556 8557 7387 7389 5998 
7388 7389 7387 7386 5162 
6491, 9215 9225 9227 9230 6533 
9225 9226 9228 9227 6490 
Time elapsed for extracting interior dual mesh: 14.1742
badElem: 2 aveDist: 0.0564133 maxDist: 2.36361 maxDistIdx: 14486
badElem: 0 aveDist: 0.0132461 maxDist: 1.73001 maxDistIdx: 14114
badElem: 0 aveDist: 0.00280891 maxDist: 0.862642 maxDistIdx: 14129
badElem: 0 aveDist: 0.000457718 maxDist: 0.195119 maxDistIdx: 12015
badElem: 0 aveDist: 5.51535e-05 maxDist: 0.0431285 maxDistIdx: 14128
badElem: 0 aveDist: 1.4441e-05 maxDist: 0.00989054 maxDistIdx: 14128
badElem: 0 aveDist: 3.07456e-06 maxDist: 0.00275603 maxDistIdx: 11627
badElem: 0 aveDist: 3.13529e-06 maxDist: 0.00882963 maxDistIdx: 11627
badElem: 1 aveDist: 8.40039e-07 maxDist: 0.00168257 maxDistIdx: 11617
badElem: 0 aveDist: 7.20533e-07 maxDist: 0.00280383 maxDistIdx: 11627
badElem: 0 aveDist: 1.60592e-07 maxDist: 0.000624914 maxDistIdx: 11627
badElem: 0 aveDist: 2.67788e-09 maxDist: 3.93677e-06 maxDistIdx: 12464
badElem: 18 aveDist: 0.000728369 maxDist: 0.141476 maxDistIdx: 12469
badElem: 4 aveDist: 0.000736563 maxDist: 0.141476 maxDistIdx: 12469
badElem: 4 aveDist: 0.000736635 maxDist: 0.141476 maxDistIdx: 12469
badElem: 2 aveDist: 0.0003637 maxDist: 0.0751929 maxDistIdx: 12464
badElem: 1 aveDist: 0.000176204 maxDist: 0.0585012 maxDistIdx: 12464
badElem: 3 aveDist: 6.27766e-05 maxDist: 0.0323059 maxDistIdx: 12469
badElem: 0 aveDist: 2.71282e-05 maxDist: 0.0247261 maxDistIdx: 12469
badElem: 0 aveDist: 1.16079e-05 maxDist: 0.0142334 maxDistIdx: 12469
badElem: 0 aveDist: 6.37784e-06 maxDist: 0.00974031 maxDistIdx: 12469
badElem: 0 aveDist: 3.46151e-06 maxDist: 0.00556183 maxDistIdx: 12469
badElem: 0 aveDist: 2.23722e-06 maxDist: 0.0036845 maxDistIdx: 12469
badElem: 0 aveDist: 9.97349e-07 maxDist: 0.00170386 maxDistIdx: 12469
badElem: 0 aveDist: 7.52272e-07 maxDist: 0.00136243 maxDistIdx: 12469
badElem: 0 aveDist: 8.65947e-07 maxDist: 0.00164964 maxDistIdx: 12469
badElem: 0 aveDist: 4.80504e-07 maxDist: 0.000646341 maxDistIdx: 12469
badElem: 0 aveDist: 1.68295e-07 maxDist: 0.000480924 maxDistIdx: 12464
badElem: 0 aveDist: 3.75095e-08 maxDist: 0.000107188 maxDistIdx: 12464
badElem: 0 aveDist: 6.34377e-15 maxDist: 1.83989e-11 maxDistIdx: 13228
badElem: 6 aveDist: 8.92513e-05 maxDist: 0.0100267 maxDistIdx: 12464
badElem: 0 aveDist: 2.70806e-05 maxDist: 0.00647788 maxDistIdx: 12464
badElem: 0 aveDist: 8.76315e-06 maxDist: 0.00453808 maxDistIdx: 12469
badElem: 0 aveDist: 3.60143e-06 maxDist: 0.00309018 maxDistIdx: 12469
badElem: 0 aveDist: 1.68214e-06 maxDist: 0.00210091 maxDistIdx: 12469
badElem: 0 aveDist: 8.43623e-07 maxDist: 0.00119636 maxDistIdx: 12469
badElem: 0 aveDist: 3.95196e-07 maxDist: 0.000741906 maxDistIdx: 12469
badElem: 0 aveDist: 4.11771e-07 maxDist: 0.000597667 maxDistIdx: 12464
badElem: 0 aveDist: 2.19543e-07 maxDist: 0.000372651 maxDistIdx: 12469
badElem: 0 aveDist: 2.86685e-15 maxDist: 4.71261e-12 maxDistIdx: 13868
badElem: 3 aveDist: 0.000137565 maxDist: 0.0172885 maxDistIdx: 13982
badElem: 0 aveDist: 6.80131e-05 maxDist: 0.00931783 maxDistIdx: 13982
badElem: 0 aveDist: 2.53011e-05 maxDist: 0.00493158 maxDistIdx: 12464
badElem: 1 aveDist: 9.61862e-06 maxDist: 0.00373736 maxDistIdx: 12469
badElem: 0 aveDist: 3.72616e-06 maxDist: 0.00269028 maxDistIdx: 12469
badElem: 1 aveDist: 1.07944e-06 maxDist: 0.00121097 maxDistIdx: 12464
badElem: 0 aveDist: 9.63957e-07 maxDist: 0.00134132 maxDistIdx: 12464
badElem: 0 aveDist: 4.25251e-07 maxDist: 0.000521577 maxDistIdx: 12464
badElem: 0 aveDist: 2.84902e-07 maxDist: 0.000353725 maxDistIdx: 12464
badElem: 0 aveDist: 1.76535e-15 maxDist: 2.87955e-14 maxDistIdx: 10972
badElem: 12 aveDist: 0.000194904 maxDist: 0.0215262 maxDistIdx: 14027
badElem: 0 aveDist: 0.000124853 maxDist: 0.0136061 maxDistIdx: 14027
badElem: 0 aveDist: 5.71341e-05 maxDist: 0.00614321 maxDistIdx: 13810
badElem: 0 aveDist: 2.12975e-05 maxDist: 0.00412473 maxDistIdx: 12469
badElem: 0 aveDist: 7.4844e-06 maxDist: 0.00272027 maxDistIdx: 12469
badElem: 0 aveDist: 3.01377e-06 maxDist: 0.00195676 maxDistIdx: 12469
badElem: 0 aveDist: 1.43921e-06 maxDist: 0.00180901 maxDistIdx: 12469
badElem: 0 aveDist: 3.20769e-07 maxDist: 0.000403191 maxDistIdx: 12469
badElem: 0 aveDist: 1.83313e-15 maxDist: 2.66959e-14 maxDistIdx: 10949
badElem: 7 aveDist: 0.000232851 maxDist: 0.0235653 maxDistIdx: 14454
badElem: 0 aveDist: 0.000178303 maxDist: 0.0180553 maxDistIdx: 14454
badElem: 2 aveDist: 8.71668e-05 maxDist: 0.00855539 maxDistIdx: 14454
badElem: 3 aveDist: 3.62032e-05 maxDist: 0.00487306 maxDistIdx: 12469
badElem: 0 aveDist: 1.51968e-05 maxDist: 0.00364535 maxDistIdx: 12469
badElem: 0 aveDist: 6.30265e-06 maxDist: 0.00259871 maxDistIdx: 12469
badElem: 0 aveDist: 2.84232e-06 maxDist: 0.00194388 maxDistIdx: 12469
badElem: 2 aveDist: 5.49684e-07 maxDist: 0.000425223 maxDistIdx: 12464
badElem: 0 aveDist: 5.74791e-07 maxDist: 0.000506049 maxDistIdx: 12464
badElem: 0 aveDist: 7.61478e-07 maxDist: 0.000970628 maxDistIdx: 12469
badElem: 0 aveDist: 1.69718e-07 maxDist: 0.000216333 maxDistIdx: 12469
badElem: 0 aveDist: 2.16767e-15 maxDist: 1.52701e-12 maxDistIdx: 12991
badElem: 12 aveDist: 0.000298458 maxDist: 0.0292082 maxDistIdx: 14454
badElem: 13 aveDist: 0.000293383 maxDist: 0.0281775 maxDistIdx: 14028
badElem: 3 aveDist: 0.000295986 maxDist: 0.0281775 maxDistIdx: 14028
badElem: 0 aveDist: 0.000237189 maxDist: 0.0223722 maxDistIdx: 14028
badElem: 1 aveDist: 0.000118383 maxDist: 0.0109414 maxDistIdx: 13810
badElem: 0 aveDist: 6.11737e-05 maxDist: 0.00622327 maxDistIdx: 12464
badElem: 0 aveDist: 2.49799e-05 maxDist: 0.00438562 maxDistIdx: 12464
badElem: 0 aveDist: 9.27387e-06 maxDist: 0.00294753 maxDistIdx: 12464
badElem: 1 aveDist: 4.67291e-06 maxDist: 0.00265745 maxDistIdx: 12469
badElem: 0 aveDist: 2.31912e-06 maxDist: 0.00133797 maxDistIdx: 12464
badElem: 0 aveDist: 1.01404e-06 maxDist: 0.00127798 maxDistIdx: 12469
badElem: 0 aveDist: 6.39453e-07 maxDist: 0.000914301 maxDistIdx: 12469
badElem: 0 aveDist: 1.42521e-07 maxDist: 0.000203778 maxDistIdx: 12469
badElem: 0 aveDist: 1.87841e-15 maxDist: 2.66959e-14 maxDistIdx: 10949
badElem: 18 aveDist: 0.000392543 maxDist: 0.0489528 maxDistIdx: 11717
badElem: 12 aveDist: 0.000395156 maxDist: 0.0492328 maxDistIdx: 11717
badElem: 8 aveDist: 0.000396902 maxDist: 0.0492328 maxDistIdx: 11717
badElem: 14 aveDist: 0.000386734 maxDist: 0.0417883 maxDistIdx: 11249
