Time elapsed for reading surface mesh: 0.567819
Time elapsed for curvature and narrow region assessment: 31.5559
Number of unbalanced nodes: 123
Number of unbalanced nodes: 0
Time elapsed for octree generation (strongly balanced): 19.6115
Time elapsed for constructing octree: 55.3388
Time elapsed for generating dual mesh: 17.0554
1177, 1995 1996 61 65 1179 
64 65 61 60 21 
Time elapsed for extracting interior dual mesh: 21.6678
badElem: 1 aveDist: 0.0256349 maxDist: 1.47258 maxDistIdx: 17379
badElem: 0 aveDist: 0.00491826 maxDist: 0.791618 maxDistIdx: 16727
badElem: 0 aveDist: 0.000931503 maxDist: 0.338628 maxDistIdx: 17546
badElem: 0 aveDist: 0.000151839 maxDist: 0.121801 maxDistIdx: 17546
badElem: 0 aveDist: 2.06595e-05 maxDist: 0.0194218 maxDistIdx: 17003
badElem: 0 aveDist: 3.99416e-06 maxDist: 0.00576906 maxDistIdx: 15153
badElem: 0 aveDist: 7.05775e-07 maxDist: 0.0012858 maxDistIdx: 15153
badElem: 2 aveDist: 1.07078e-07 maxDist: 0.000106328 maxDistIdx: 16915
badElem: 0 aveDist: 3.78367e-08 maxDist: 3.75715e-05 maxDistIdx: 16915
badElem: 4 aveDist: 0.000258346 maxDist: 0.0512857 maxDistIdx: 16996
badElem: 1 aveDist: 9.35444e-05 maxDist: 0.0257803 maxDistIdx: 16996
badElem: 0 aveDist: 3.29262e-05 maxDist: 0.0146265 maxDistIdx: 17001
badElem: 0 aveDist: 1.08811e-05 maxDist: 0.00750248 maxDistIdx: 17001
badElem: 1 aveDist: 3.68709e-06 maxDist: 0.0035551 maxDistIdx: 16996
badElem: 0 aveDist: 1.48282e-06 maxDist: 0.0017482 maxDistIdx: 16996
badElem: 0 aveDist: 7.27494e-07 maxDist: 0.00098629 maxDistIdx: 17001
badElem: 0 aveDist: 1.62143e-07 maxDist: 0.000219823 maxDistIdx: 17001
badElem: 0 aveDist: 4.26978e-15 maxDist: 9.00163e-12 maxDistIdx: 16636
badElem: 0 aveDist: 1.83317e-05 maxDist: 0.00523704 maxDistIdx: 16996
badElem: 0 aveDist: 5.18156e-06 maxDist: 0.00209668 maxDistIdx: 16996
badElem: 0 aveDist: 1.78881e-06 maxDist: 0.00129085 maxDistIdx: 17001
badElem: 0 aveDist: 6.20488e-07 maxDist: 0.000613107 maxDistIdx: 16996
badElem: 0 aveDist: 3.03917e-07 maxDist: 0.000572162 maxDistIdx: 17001
badElem: 0 aveDist: 6.77367e-08 maxDist: 0.000127523 maxDistIdx: 17001
badElem: 0 aveDist: 6.8912e-15 maxDist: 1.68424e-11 maxDistIdx: 15087
badElem: 0 aveDist: 2.55126e-05 maxDist: 0.00486115 maxDistIdx: 16996
badElem: 0 aveDist: 7.81526e-06 maxDist: 0.00218678 maxDistIdx: 17001
badElem: 0 aveDist: 2.69469e-06 maxDist: 0.00125226 maxDistIdx: 17001
badElem: 0 aveDist: 8.51295e-07 maxDist: 0.000717 maxDistIdx: 17001
badElem: 0 aveDist: 1.61729e-07 maxDist: 0.000149756 maxDistIdx: 16996
badElem: 0 aveDist: 5.05226e-15 maxDist: 1.68195e-11 maxDistIdx: 14272
badElem: 0 aveDist: 4.04396e-05 maxDist: 0.00772155 maxDistIdx: 14986
badElem: 0 aveDist: 1.2315e-05 maxDist: 0.00296993 maxDistIdx: 17001
badElem: 0 aveDist: 4.13066e-06 maxDist: 0.00150023 maxDistIdx: 14986
badElem: 0 aveDist: 1.56059e-06 maxDist: 0.00128154 maxDistIdx: 17001
badElem: 0 aveDist: 9.09918e-07 maxDist: 0.000814037 maxDistIdx: 17400
badElem: 0 aveDist: 3.3965e-07 maxDist: 0.000688688 maxDistIdx: 17399
badElem: 0 aveDist: 7.57008e-08 maxDist: 0.000153494 maxDistIdx: 17399
badElem: 0 aveDist: 4.75458e-15 maxDist: 1.68195e-11 maxDistIdx: 14272
badElem: 2 aveDist: 6.01476e-05 maxDist: 0.0115861 maxDistIdx: 14986
badElem: 0 aveDist: 2.05789e-05 maxDist: 0.00426784 maxDistIdx: 14986
badElem: 0 aveDist: 6.26653e-06 maxDist: 0.00141877 maxDistIdx: 16996
badElem: 0 aveDist: 2.61886e-06 maxDist: 0.000971554 maxDistIdx: 16996
badElem: 0 aveDist: 8.1116e-07 maxDist: 0.000448491 maxDistIdx: 17780
badElem: 0 aveDist: 1.8079e-07 maxDist: 9.99591e-05 maxDistIdx: 17780
badElem: 2 aveDist: 9.52261e-05 maxDist: 0.0193969 maxDistIdx: 14986
badElem: 0 aveDist: 3.99603e-05 maxDist: 0.00873873 maxDistIdx: 15000
badElem: 0 aveDist: 1.74636e-05 maxDist: 0.00463041 maxDistIdx: 15000
badElem: 0 aveDist: 7.12613e-06 maxDist: 0.00255751 maxDistIdx: 14986
badElem: 0 aveDist: 2.46317e-06 maxDist: 0.00109391 maxDistIdx: 17400
badElem: 0 aveDist: 5.06259e-07 maxDist: 0.000193885 maxDistIdx: 17386
badElem: 0 aveDist: 4.25479e-07 maxDist: 0.000546676 maxDistIdx: 17400
badElem: 0 aveDist: 9.48304e-08 maxDist: 0.000121843 maxDistIdx: 17400
badElem: 0 aveDist: 3.37716e-15 maxDist: 8.41209e-12 maxDistIdx: 17975
badElem: 10 aveDist: 0.000161666 maxDist: 0.0495945 maxDistIdx: 15000
badElem: 0 aveDist: 0.000102847 maxDist: 0.036486 maxDistIdx: 15000
badElem: 0 aveDist: 5.48439e-05 maxDist: 0.0214435 maxDistIdx: 15000
badElem: 0 aveDist: 2.49434e-05 maxDist: 0.0120981 maxDistIdx: 15000
badElem: 0 aveDist: 1.16992e-05 maxDist: 0.00787314 maxDistIdx: 15000
badElem: 0 aveDist: 5.95473e-06 maxDist: 0.00484125 maxDistIdx: 15000
badElem: 0 aveDist: 2.92958e-06 maxDist: 0.00260109 maxDistIdx: 15000
badElem: 0 aveDist: 1.10533e-06 maxDist: 0.00109403 maxDistIdx: 15000
badElem: 0 aveDist: 6.06456e-07 maxDist: 0.000534279 maxDistIdx: 17400
badElem: 0 aveDist: 3.08125e-07 maxDist: 0.00033278 maxDistIdx: 17001
badElem: 0 aveDist: 1.86221e-15 maxDist: 2.60788e-14 maxDistIdx: 14309
badElem: 14 aveDist: 0.000209546 maxDist: 0.0623128 maxDistIdx: 15000
badElem: 0 aveDist: 0.000219521 maxDist: 0.0631267 maxDistIdx: 15000
badElem: 6 aveDist: 0.000162416 maxDist: 0.0488978 maxDistIdx: 15000
badElem: 2 aveDist: 0.000104238 maxDist: 0.0278559 maxDistIdx: 14532
badElem: 0 aveDist: 7.83853e-05 maxDist: 0.024092 maxDistIdx: 14466
badElem: 0 aveDist: 4.45893e-05 maxDist: 0.0118667 maxDistIdx: 15000
badElem: 0 aveDist: 3.47224e-05 maxDist: 0.0114642 maxDistIdx: 15084
badElem: 0 aveDist: 2.87205e-05 maxDist: 0.0131351 maxDistIdx: 14532
badElem: 0 aveDist: 1.66323e-05 maxDist: 0.00912242 maxDistIdx: 15084
badElem: 3 aveDist: 1.03382e-05 maxDist: 0.00563428 maxDistIdx: 15095
badElem: 0 aveDist: 9.95719e-06 maxDist: 0.00704413 maxDistIdx: 15084
badElem: 0 aveDist: 1.46155e-05 maxDist: 0.0121738 maxDistIdx: 15084
badElem: 0 aveDist: 1.129e-05 maxDist: 0.0110312 maxDistIdx: 15084
badElem: 0 aveDist: 8.87477e-06 maxDist: 0.0104503 maxDistIdx: 15084
badElem: 0 aveDist: 6.77437e-06 maxDist: 0.00871177 maxDistIdx: 15084
badElem: 0 aveDist: 4.25223e-06 maxDist: 0.00642522 maxDistIdx: 15084
